,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
32,Dikson,100,RU,1575039814,98,73.51,80.55,-4.16,8.9
33,Touros,75,BR,1575039815,52,-5.2,-35.46,87.8,16.11
34,Minggang,100,CN,1575039816,70,32.45,114.03,45.09,3.8
35,Leningradskiy,100,RU,1575039817,95,69.38,178.42,1.13,11.12
36,Nabire,71,ID,1575039818,95,-3.36,135.5,73.92,1.99
37,Butaritari,100,KI,1575039819,70,3.07,172.79,83.39,4.03
38,Ponta do Sol,100,BR,1575039821,85,-20.63,-46.0,72.05,3.74
39,Hermanus,33,ZA,1575039822,71,-34.42,19.24,75.0,11.01
40,New Norfolk,90,AU,1575039823,87,-42.78,147.06,48.2,6.93
41,Ribeira Grande,20,PT,1575039824,73,38.52,-28.7,69.8,10.29
42,Tete,40,MZ,1575039825,41,-16.16,33.59,95.0,12.75
43,Sola,100,TZ,1575039827,84,-3.17,33.8,67.19,3.94
44,Busselton,0,AU,1575039828,35,-33.64,115.35,59.0,17.63
45,Deputatskiy,100,RU,1575039829,84,69.3,139.9,-14.26,2.48
46,Constitucion,40,MX,1575039830,100,23.99,-104.67,55.99,3.36
47,Sitka,100,US,1575039831,97,37.17,-99.65,37.0,7.0
48,Kununurra,2,AU,1575039832,79,-15.77,128.74,84.2,5.82
49,Port Alfred,35,ZA,1575039834,84,-33.59,26.89,73.0,5.99
50,Lasa,75,CY,1575039835,68,34.92,32.53,69.8,6.93
51,Tuatapere,3,NZ,1575039836,89,-46.13,167.69,46.99,2.48
52,Butembo,58,CD,1575039837,94,0.12,29.29,68.34,2.51
53,Berlevag,75,NO,1575039838,92,70.86,29.09,32.0,8.05
54,Inuvik,90,CA,1575039840,92,68.36,-133.71,24.8,3.36
55,Aden,61,YE,1575039625,59,12.79,45.03,78.93,8.3
56,Tuktoyaktuk,75,CA,1575039842,85,69.44,-133.03,21.2,11.41
57,Roald,40,NO,1575039843,64,62.58,6.12,35.6,8.05
58,Punta Arenas,75,CL,1575039844,57,-53.16,-70.91,48.2,5.82
59,Rincon,20,PA,1575039846,83,8.46,-82.28,80.6,2.24
60,Semey,94,KZ,1575039847,84,50.41,80.25,1.4,2.24
61,Georgetown,75,GY,1575039826,79,6.8,-58.16,84.2,4.7
62,Airai,99,TL,1575039849,72,-8.93,125.41,67.71,2.39
63,Boa Vista,20,BR,1575039851,55,2.82,-60.67,87.8,9.17
64,Loma Bonita,82,MX,1575039852,90,18.11,-95.88,75.72,4.74
65,Baft,0,IR,1575039853,49,29.23,56.61,47.1,5.5
66,Isangel,67,VU,1575039855,72,-19.55,169.27,73.04,16.64
67,Atar,0,MR,1575039856,15,20.52,-13.05,91.4,9.84
68,Xichang,0,CN,1575039857,29,27.88,102.25,62.01,4.14
69,Srednekolymsk,51,RU,1575039858,97,67.46,153.71,-25.2,3.89
70,Vaini,20,IN,1575039859,73,15.34,74.49,73.4,3.36
71,Hamilton,90,CA,1575039689,79,43.26,-79.87,30.99,5.82
72,Fare,100,PF,1575039862,78,-16.7,-151.02,81.41,9.6
73,Acapulco,40,MX,1575039863,78,16.86,-99.88,78.8,4.7
74,Tiksi,100,RU,1575039864,90,71.64,128.87,-9.87,5.14
75,Sao Jose da Coroa Grande,0,BR,1575039865,70,-8.9,-35.15,79.75,11.14
76,Pamyat Parizhskoy Kommuny,90,RU,1575039866,74,56.1,44.5,30.2,11.18
77,Karaman,70,TR,1575039868,91,37.18,33.22,48.02,12.55
78,Albany,75,US,1575039772,67,42.65,-73.75,33.01,12.75
79,Buribay,37,RU,1575039870,78,51.96,58.16,12.67,4.43
80,Qaanaaq,100,GL,1575039871,92,77.48,-69.36,8.47,8.97
81,Avarua,66,CK,1575039873,94,-21.21,-159.78,69.8,1.12
82,East London,20,ZA,1575039874,83,-33.02,27.91,69.8,17.22
83,Hualmay,59,PE,1575039875,59,-11.1,-77.61,72.84,8.32
84,Bandarbeyla,80,SO,1575039876,76,9.49,50.81,80.2,26.19
85,Vila Franca do Campo,20,PT,1575039877,88,37.72,-25.43,68.0,10.29
86,Hilo,90,US,1575039879,88,19.71,-155.08,69.01,8.05
87,Puerto Quijarro,40,BO,1575039880,59,-19.0,-57.72,91.4,4.7
88,Kalach-na-Donu,90,RU,1575039881,89,48.69,43.52,32.0,11.18
89,Ligayan,95,PH,1575039882,75,4.65,119.47,83.93,10.0
90,Kapaa,20,US,1575039883,78,22.08,-159.32,77.0,12.75
91,Lompoc,90,US,1575039600,93,34.64,-120.46,39.99,5.82
92,Puerto Ayora,75,EC,1575039886,69,-0.74,-90.35,75.2,15.32
93,Henties Bay,0,NA,1575039887,76,-22.12,14.28,69.01,10.0
94,Atuona,19,PF,1575039888,74,-9.8,-139.03,78.58,16.91
95,Fortuna,75,US,1575039889,90,40.6,-124.16,33.8,10.29
96,Salalah,75,OM,1575039890,54,17.01,54.1,82.4,9.17
97,Knysna,75,ZA,1575039892,72,-34.04,23.05,68.0,10.29
98,Ranipur,14,IN,1575039893,52,25.25,79.06,72.55,7.85
99,Mar del Plata,99,AR,1575039894,29,-46.43,-67.52,64.24,18.3
100,Kahului,20,US,1575039602,64,20.89,-156.47,73.4,6.93
101,Jamestown,61,AU,1575039896,85,-33.21,138.6,52.84,14.0
102,Ancud,75,CL,1575039898,81,-41.87,-73.83,51.8,10.29
103,Kedrovyy,75,RU,1575039899,72,56.17,91.82,14.0,11.18
104,Morros,75,BR,1575039900,62,-2.87,-44.04,87.8,17.22
105,Aykhal,100,RU,1575039901,95,65.95,111.51,-1.98,16.75
106,Havre-Saint-Pierre,90,CA,1575039902,62,50.23,-63.6,24.8,21.92
107,Mahebourg,20,MU,1575039903,74,-20.41,57.7,82.4,3.36
108,Rafraf,20,TN,1575039905,40,37.19,10.18,71.6,9.17
109,Norman Wells,75,CA,1575039906,85,65.28,-126.83,10.4,3.36
110,Bredasdorp,0,ZA,1575039907,39,-34.53,20.04,80.6,20.8
111,Magadan,100,RU,1575039908,57,59.56,150.8,5.47,10.63
112,Carnarvon,52,ZA,1575039909,10,-30.97,22.13,92.57,22.24
113,Narsaq,40,GL,1575039911,52,60.91,-46.05,19.4,3.36
114,Sisimiut,100,GL,1575039912,92,66.94,-53.67,22.87,18.45
115,Winfield,90,US,1575039913,100,37.24,-97.0,41.0,8.05
116,Mount Isa,100,AU,1575039914,54,-20.73,139.49,82.4,4.7
117,Hofn,75,IS,1575039915,63,64.25,-15.21,30.2,8.05
118,Bluff,99,AU,1575039916,74,-23.58,149.07,70.84,12.35
119,Tommot,0,RU,1575039917,93,58.97,126.27,-5.4,1.5
120,Cherskiy,100,RU,1575039919,94,68.75,161.3,-11.72,9.75
121,Cape Town,20,ZA,1575039920,53,-33.93,18.42,75.0,17.22
122,Palmer,25,AU,1575039921,81,-34.85,139.16,55.99,4.7
123,Inhambane,0,MZ,1575039922,33,-23.87,35.38,86.0,14.99
124,Codrington,40,AU,1575039923,88,-28.95,153.24,71.6,10.29
125,Barcelona,20,ES,1575039845,82,41.38,2.18,64.99,10.29
126,Alofi,75,NU,1575039926,88,-19.06,-169.92,69.8,2.24
127,Los Alamos,90,US,1575039927,100,35.88,-106.3,41.0,5.82
128,Padang,94,ID,1575039928,96,-0.92,100.36,69.33,3.78
129,Mount Gambier,40,AU,1575039929,93,-37.83,140.78,42.8,4.7
130,Khatanga,85,RU,1575039931,97,71.98,102.47,-27.22,6.58
131,Rio Grande,0,BR,1575039932,51,-32.03,-52.1,82.99,12.75
132,Pastavy,86,BY,1575039933,95,55.11,26.84,39.22,11.97
133,Faanui,100,PF,1575039934,78,-16.48,-151.75,80.65,6.69
134,San Carlos,84,NI,1575039935,1,11.12,-84.78,73.99,15.01
135,Mikhaylovka,32,RU,1575039937,93,52.96,103.29,-0.67,1.7
136,Naze,81,NG,1575039938,40,5.43,7.07,92.26,3.85
137,Kysyl-Syr,98,RU,1575039939,96,63.9,122.77,0.79,5.59
138,Zhigansk,100,RU,1575039940,96,66.77,123.37,-5.66,22.95
139,Hambantota,40,LK,1575039942,100,6.12,81.12,78.8,1.12
140,Sao Filipe,0,CV,1575039943,74,14.9,-24.5,76.08,17.09
141,Kupino,61,RU,1575039944,95,54.36,77.31,6.15,6.4
142,Kavieng,100,PG,1575039946,70,-2.57,150.8,83.61,6.96
143,Campobello di Mazara,20,IT,1575039947,68,37.64,12.74,64.4,20.8
144,Karratha,0,AU,1575039948,73,-20.74,116.85,81.14,14.45
145,Tomatlan,0,MX,1575039949,58,19.93,-105.25,72.81,2.51
146,Tadpatri,0,IN,1575039950,72,14.92,78.02,75.06,9.01
147,Iqaluit,90,CA,1575039951,73,63.75,-68.52,21.2,16.24
148,Thompson,75,CA,1575039952,76,55.74,-97.86,-7.6,2.66
149,Chapais,90,CA,1575039954,78,49.78,-74.86,10.4,8.05
150,Luderitz,2,NA,1575039955,53,-26.65,15.16,75.2,16.11
151,Santa Vitoria do Palmar,0,BR,1575039701,44,-33.52,-53.37,75.51,9.95
152,Hope,90,US,1575039958,76,33.67,-93.59,52.0,5.82
153,Urk,75,NL,1575039962,70,52.67,5.6,46.99,13.87
154,Port Hawkesbury,90,CA,1575039963,93,45.62,-61.36,39.99,20.8
155,Marquette,100,US,1575039891,86,46.54,-87.4,30.0,1.61
156,Souillac,40,FR,1575039965,71,45.6,-0.6,59.0,10.29
157,Coro,10,VE,1575039967,69,11.41,-69.67,83.32,8.95
158,Isiro,25,CD,1575039968,77,2.77,27.62,78.37,3.49
159,Lebu,51,ET,1575039969,84,8.96,38.73,58.33,6.06
160,Ayan,69,IR,1575039971,69,38.23,44.7,33.58,6.53
161,Matara,100,BI,1575039972,93,-3.48,29.48,63.63,2.04
162,Machacamarca,100,BO,1575039974,20,-17.45,-67.6,58.73,3.11
163,Chokurdakh,0,RU,1575039975,86,70.62,147.9,-23.93,6.93
164,Hengshui,98,CN,1575039976,39,37.73,115.7,38.08,4.03
165,Havelock,40,US,1575039977,61,34.88,-76.9,50.0,9.17
166,Kajaani,90,FI,1575039978,85,64.22,27.73,23.0,9.17
167,Tornio,90,FI,1575039980,100,61.12,27.27,37.4,13.87
168,Richards Bay,100,ZA,1575039981,76,-28.77,32.06,81.19,25.23
169,Yumen,69,CN,1575039982,58,40.29,97.04,22.53,5.61
170,Inta,100,RU,1575039983,92,66.04,60.13,20.75,10.07
171,Goderich,100,CA,1575039985,86,43.74,-81.71,32.0,3.0
172,Mandalgovi,68,MN,1575039986,63,45.76,106.27,5.9,23.06
173,Beni,13,CD,1575039987,87,0.49,29.47,74.89,1.39
174,Kastamonu,65,TR,1575039988,83,41.38,33.78,43.65,0.34
175,Scottsboro,90,US,1575039989,62,34.67,-86.03,52.0,5.82
176,Bambous Virieux,20,MU,1575039990,74,-20.34,57.76,82.4,3.36
177,Kruisfontein,16,ZA,1575039992,63,-34.0,24.73,68.88,16.2
178,Leh,100,IN,1575039993,88,34.16,77.58,5.29,3.02
179,La Ronge,90,CA,1575039994,92,55.1,-105.3,12.2,4.7
180,Solnechnyy,0,RU,1575039995,82,50.72,136.64,-2.06,2.28
181,Pangody,34,RU,1575039996,81,65.85,74.49,-13.94,10.38
182,Gloversville,40,US,1575039998,74,43.05,-74.34,33.01,8.05
183,Port Blair,29,IN,1575039800,79,11.67,92.75,83.44,17.4
184,Senanga,92,ZM,1575040000,37,-16.1,23.3,88.59,6.08
185,Quilali,75,NI,1575040001,82,13.57,-86.03,68.0,18.34
186,San Quintin,99,PH,1575040003,72,17.54,120.52,68.85,10.98
187,Margate,90,AU,1575040004,87,-43.03,147.26,48.2,6.93
188,Bethel,90,US,1575040005,84,60.79,-161.76,15.8,5.82
189,Olivehurst,1,US,1575040006,85,39.1,-121.55,37.99,3.36
190,Kasongo,34,CD,1575040007,81,-4.43,26.67,82.81,0.51
191,Barahona,40,DO,1575040009,66,18.21,-71.1,84.2,6.93
192,Maroantsetra,100,MG,1575040010,97,-15.43,49.74,70.77,1.59
193,Siavonga,100,ZW,1575040011,48,-16.54,28.71,90.52,0.89
194,Barrow,35,AR,1575040012,22,-38.31,-60.23,77.94,26.35
195,Chicama,90,PE,1575040014,82,-7.84,-79.15,68.0,8.05
196,Flinders,0,AU,1575040015,88,-34.58,150.85,66.0,5.82
197,Porto Novo,75,BR,1575040016,64,-23.68,-45.44,73.4,2.24
198,Anadyr,90,RU,1575040017,92,64.73,177.51,26.6,55.92
199,Manicore,53,BR,1575040019,50,-5.81,-61.3,92.17,3.4
200,The Valley,20,AI,1575040020,62,18.22,-63.06,84.2,2.24
201,Arvi,2,IN,1575040021,50,21.0,78.23,73.74,3.76
202,Laguna,75,BZ,1575040022,88,16.17,-88.94,78.8,1.39
203,Melo,0,UY,1575040023,54,-32.37,-54.17,77.86,8.39
204,Komsomolskiy,100,RU,1575040024,94,67.55,63.78,8.17,14.5
205,Ust-Tsilma,100,RU,1575040026,91,65.44,52.15,29.91,10.6
206,Osypenko,90,UA,1575040027,93,48.04,34.39,48.2,11.18
207,Buala,0,SB,1575040028,80,-8.15,159.59,78.98,4.47
208,Katete,100,UG,1575040029,94,-0.78,29.75,65.79,1.28
209,Nioro,0,GM,1575040030,9,13.79,-15.05,104.36,12.95
210,Dawlatabad,49,AF,1575040031,47,36.41,64.91,48.38,8.5
211,Pacific Grove,40,US,1575039952,100,36.62,-121.92,37.99,7.31
212,Darhan,100,MN,1575040034,95,49.49,105.92,-0.96,7.18
213,Trofors,90,NO,1575040035,92,65.54,13.39,32.0,1.12
214,Ahuimanu,20,US,1575040036,69,21.44,-157.84,77.0,9.17
215,Northam,0,AU,1575040037,30,-31.65,116.67,68.0,16.11
216,Murmino,83,RU,1575039879,96,54.6,40.05,32.0,8.99
217,Akhmim,0,EG,1575040040,33,26.56,31.74,77.0,13.87
218,Beringovskiy,100,RU,1575040041,95,63.05,179.32,31.37,48.21
219,Panaba,74,MX,1575040042,75,21.28,-88.27,79.61,9.53
220,Stettler,100,CA,1575040043,89,52.32,-112.71,7.0,3.89
221,Mae Sai,0,MM,1575040044,94,20.44,99.89,68.0,2.24
222,Chamonix-Mont-Blanc,75,IT,1575040046,81,45.92,6.87,51.8,10.29
223,Bowen,75,AU,1575040047,83,-20.01,148.25,72.0,11.7
224,Sao Geraldo do Araguaia,68,BR,1575040048,61,-6.4,-48.55,91.51,1.19
225,Meulaboh,100,ID,1575040049,76,4.14,96.13,83.3,4.59
226,Kudus,40,ID,1575040050,74,-6.82,110.84,84.2,2.24
227,Carutapera,12,BR,1575039862,77,-1.2,-46.02,82.13,15.75
228,Hanzhong,100,CN,1575040052,76,33.08,107.03,40.3,3.0
229,Clyde River,90,CA,1575040054,84,70.47,-68.59,-2.2,8.05
230,Muros,20,ES,1575040055,82,42.77,-9.06,62.01,6.93
231,Avera,90,US,1575040056,51,33.19,-82.53,55.4,6.93
232,Eureka,75,US,1575039792,75,40.8,-124.16,33.8,10.29
233,Chake Chake,0,TZ,1575040059,76,-5.25,39.77,82.8,14.23
234,Khasan,0,RU,1575040060,52,42.43,130.64,18.54,6.46
235,San Julian,56,PH,1575040061,78,11.75,125.45,80.42,16.06
236,Maragogi,0,BR,1575040062,70,-9.01,-35.22,79.75,11.14
237,Jalu,7,LY,1575040063,35,29.03,21.55,70.99,3.6
238,Potosi,69,BO,1575040065,26,-19.59,-65.75,63.86,4.36
239,Garden City,90,US,1575039868,79,43.62,-116.24,30.2,3.36
240,Balkanabat,69,TM,1575040067,48,39.51,54.36,50.59,7.0
241,Lebork,75,PL,1575040068,86,54.54,17.75,41.0,16.11
242,Spornoye,90,RU,1575040069,100,50.84,37.29,39.2,15.66
243,Labuhan,100,ID,1575040070,89,-2.54,115.51,76.51,1.79
244,Sarangani,100,PH,1575040072,75,5.4,125.46,82.6,5.46
245,Lata,31,IN,1575040073,70,30.78,78.62,16.07,6.93
246,Mackay,90,CA,1575040074,85,53.65,-115.58,12.2,4.7
247,Along,0,IN,1575040075,92,28.17,94.8,55.74,4.32
248,Chimbote,81,PE,1575040076,61,-9.08,-78.59,74.05,8.08
249,Nanakuli,40,US,1575040077,65,21.39,-158.15,77.0,10.29
250,Alto Araguaia,62,BR,1575040079,71,-17.32,-53.22,81.1,5.17
251,Necochea,80,AR,1575040080,31,-38.55,-58.74,82.0,11.99
252,Shanghai,37,CN,1575039791,71,31.23,121.49,55.0,4.47
253,Mehran,40,IR,1575040082,62,33.12,46.17,53.6,4.7
254,Rantepao,100,ID,1575039856,97,-2.97,119.9,66.85,1.5
255,Wharton,0,GB,1575040084,70,53.2,-2.51,45.0,2.24
256,Coos Bay,1,US,1575040085,92,43.37,-124.22,35.01,4.7
257,Watsa,38,CD,1575040087,86,3.04,29.53,75.61,1.72
258,Zeya,99,RU,1575040088,100,53.74,127.27,-9.74,4.83
259,Longyearbyen,40,NO,1575040089,64,78.22,15.63,-0.4,19.46
260,Liverpool,20,GB,1575039958,81,53.41,-2.98,45.0,1.12
261,Salinas,40,US,1575040091,100,36.67,-121.66,39.0,2.33
262,San Patricio,0,PY,1575040092,48,-26.98,-56.83,90.21,6.82
263,Ambon,20,FR,1575040094,71,47.55,-2.56,57.0,4.7
264,Geraldton,90,CA,1575040095,85,49.72,-86.95,12.2,3.36
265,Vao,100,EE,1575040096,95,59.1,26.19,38.21,10.54
266,Pevek,100,RU,1575040097,77,69.7,170.27,-2.81,3.78
267,Antropovo,90,RU,1575040098,92,55.25,37.65,39.0,17.9
268,Celestun,6,MX,1575040099,78,20.87,-90.4,76.84,12.64
269,Nola,88,CF,1575040101,57,3.52,16.05,83.77,1.23
270,Kirakira,0,SB,1575040102,87,-10.46,161.92,76.37,4.09
271,Buraydah,0,SA,1575040103,60,26.33,43.97,75.2,6.93
272,Mehamn,75,NO,1575040104,92,71.03,27.85,30.2,10.29
273,Tolcayuca,5,MX,1575040105,67,19.96,-98.92,59.0,9.17
274,Udachnyy,100,RU,1575040106,93,66.42,112.4,0.81,14.03
275,Bathsheba,40,BB,1575040107,62,13.22,-59.52,87.8,9.17
276,Codo,20,ES,1575040109,59,41.33,-0.7,66.2,10.29
277,Shingu,0,JP,1575040110,62,33.72,135.99,49.64,11.9
278,Bani,0,YE,1575040111,60,16.02,42.93,83.21,8.41
279,Gaoua,12,BF,1575040112,9,10.33,-3.18,99.86,11.9
280,Saint George,20,GR,1575040113,45,39.45,22.34,68.0,9.17
281,Lerwick,75,GB,1575039925,66,60.15,-1.15,39.2,1.12
282,Caravelas,100,BR,1575040116,56,-17.73,-39.27,89.15,11.5
283,Nyurba,100,RU,1575040117,92,63.29,118.35,5.61,8.86
284,Ponta Delgada,20,PT,1575040118,88,37.73,-25.67,68.0,10.29
285,Plymouth,75,GB,1575040120,93,50.37,-4.14,46.99,12.75
286,Vardo,1,US,1575040121,60,39.62,-77.74,43.0,8.05
287,Maniitsoq,100,GL,1575040122,92,65.42,-52.9,24.71,8.79
288,Popondetta,100,PG,1575040123,89,-8.77,148.24,66.31,2.57
289,Aras,20,ES,1575040124,62,42.56,-2.36,59.0,3.36
290,Almendralejo,90,ES,1575040125,72,38.68,-6.41,64.4,8.05
291,Tricase,40,IT,1575040127,82,39.93,18.36,66.2,5.82
292,Novo Aripuana,64,BR,1575040128,43,-5.12,-60.38,97.61,2.01
293,Saint-Pierre,90,FR,1575040129,81,48.95,4.24,46.99,9.17
294,Amparafaravola,15,MG,1575040130,74,-17.68,48.22,73.69,10.51
295,Kamina,77,CD,1575040131,83,-8.74,25.0,75.58,3.24
296,Walvis Bay,26,NA,1575040132,56,-22.95,14.51,73.4,13.87
297,Alice Springs,17,AU,1575040134,19,-23.7,133.88,87.8,8.05
298,Severo-Kurilsk,92,RU,1575040135,91,50.68,156.12,19.96,26.06
299,Marrakesh,100,MA,1575040136,27,31.63,-7.99,78.8,3.36
300,Cheremukhovo,46,RU,1575040137,65,56.23,46.23,28.17,13.49
301,Upernavik,100,GL,1575040138,95,72.79,-56.15,25.59,11.39
302,Altamont,90,CA,1575040139,100,49.4,-98.5,24.8,6.93
303,Broome,20,GB,1575040141,75,52.47,1.45,46.0,6.93
304,Nhulunbuy,0,AU,1575040142,74,-12.18,136.78,80.6,4.7
305,Waterford,10,IE,1575040090,75,52.26,-7.11,48.0,10.29
306,Cap Malheureux,20,MU,1575040144,74,-19.98,57.61,82.4,3.36
307,Grafton,100,AU,1575040146,94,-29.69,152.93,69.8,2.24
308,Comodoro Rivadavia,40,AR,1575040087,39,-45.87,-67.48,62.6,17.22
309,Maldonado,0,UY,1575040148,32,-34.91,-54.96,84.2,13.87
310,Manaira,0,BR,1575040149,16,-7.71,-38.15,95.92,2.89
311,Puerto Carreno,100,CO,1575040150,66,6.19,-67.49,86.0,10.29
312,Arlit,0,NE,1575040151,8,18.74,7.39,94.14,10.42
313,Shenjiamen,31,CN,1575040153,69,29.96,122.3,58.39,15.97
314,Makat,100,KZ,1575040154,65,47.65,53.35,36.81,22.44
315,Taylorville,90,US,1575039875,93,39.55,-89.29,37.99,4.7
316,Waipawa,78,NZ,1575040157,89,-39.94,176.59,55.99,2.84
317,Kaeo,2,NZ,1575040158,100,-35.1,173.78,60.01,3.58
318,Lenine,100,UA,1575040159,87,45.3,35.78,54.18,13.02
319,Freeport,20,BS,1575040160,73,26.54,-78.7,75.2,13.87
320,Brownsville,90,US,1575040162,94,25.91,-97.49,77.0,8.05
321,Saint-Joseph,0,FR,1575040163,32,43.56,6.97,68.0,19.46
322,Soller,20,DE,1575040164,70,50.73,6.56,48.99,12.75
323,Gornopravdinsk,100,RU,1575040165,96,60.06,69.92,13.77,5.75
324,Eyl,97,SO,1575040166,70,7.98,49.82,80.82,28.07
325,Sorland,75,NO,1575040168,73,67.67,12.69,32.0,26.4
326,Polovinnoye,65,RU,1575040169,80,54.79,65.99,15.57,8.75
327,Noyon,75,FR,1575040170,81,49.58,3.0,48.99,10.29
328,Filadelfia,17,PY,1575040171,37,-22.35,-60.04,95.09,11.97
329,Hohhot,75,CN,1575040172,100,40.81,111.65,28.4,2.24
330,Hasaki,20,JP,1575040173,39,35.73,140.83,32.0,2.24
331,Yenagoa,100,NG,1575040175,55,4.92,6.26,89.92,1.77
332,Mpraeso,48,GH,1575040176,34,6.6,-0.73,90.14,5.93
333,Mongomo,97,GA,1575040177,89,1.63,11.31,77.02,2.59
334,Sioux Lookout,90,CA,1575040178,92,50.1,-91.92,15.8,2.24
335,Sobolevo,100,RU,1575040179,97,54.43,31.9,35.6,10.54
336,Kampene,29,CD,1575040181,91,-3.59,26.67,78.64,0.96
337,Puebla,5,MX,1575039918,81,19.04,-98.2,50.0,4.76
338,Sinnar,2,IN,1575040183,55,19.85,74.0,74.17,1.57
339,Kailua,20,US,1575040184,69,21.39,-157.74,77.0,9.17
340,Plettenberg Bay,0,ZA,1575040186,74,-34.05,23.37,67.57,8.37
341,Tel Aviv-Yafo,10,IL,1575040187,68,32.08,34.78,69.8,9.17
342,Hirado,0,JP,1575040188,52,33.32,129.49,55.4,8.05
343,Los Llanos de Aridane,0,ES,1575040189,73,28.66,-17.92,73.99,13.87
344,Coquimbo,40,CL,1575040190,67,-29.95,-71.34,84.99,9.17
345,Acajutla,100,SV,1575040192,61,13.59,-89.83,80.6,4.43
346,Luis Correia,20,BR,1575040193,59,-2.88,-41.67,91.4,20.8
347,Vila Velha,40,BR,1575040194,55,-3.71,-38.6,87.8,17.22
348,Tabuk,90,PH,1575040195,85,17.41,121.44,66.65,7.0
349,Sabang,51,PH,1575040196,80,13.8,121.11,72.09,11.14
350,Nanortalik,100,GL,1575040197,70,60.14,-45.24,37.56,7.2
351,Half Moon Bay,20,US,1575040199,86,37.46,-122.43,44.01,8.05
352,Warrnambool,35,AU,1575040200,76,-38.38,142.48,60.01,11.01
353,Talnakh,23,RU,1575040201,74,69.49,88.39,-27.4,2.24
354,Gwadar,0,PK,1575040202,49,25.12,62.33,74.25,4.81
355,Sussex,75,CA,1575040203,86,45.72,-65.51,33.01,19.46
356,Idukki,100,IN,1575040204,95,9.85,76.97,67.05,4.16
357,Burgeo,100,CA,1575040206,76,47.61,-57.61,41.34,27.13
358,Champerico,40,MX,1575040207,88,16.38,-93.6,71.6,3.36
359,Namatanai,100,PG,1575040208,73,-3.66,152.44,82.11,4.09
360,Clyde,100,NZ,1575040209,76,-45.19,169.32,48.99,0.63
361,Shakiso,47,ET,1575040210,88,5.77,38.9,63.73,1.3
362,Sao Joao da Barra,90,BR,1575040212,73,-21.64,-41.05,77.0,13.87
363,Kletskaya,93,RU,1575040213,94,49.31,43.06,34.0,5.99
364,Tala,5,MX,1575040214,77,20.65,-103.7,62.01,2.26
365,Lavrentiya,100,RU,1575040215,81,65.58,-170.99,21.02,12.95
366,Mandal,100,MN,1575040216,99,48.82,106.5,-3.78,3.49
367,Cedar City,90,US,1575040218,100,37.68,-113.06,30.2,9.17
368,Lensk,99,RU,1575040219,90,60.71,114.91,5.68,11.7
369,Sanary-sur-Mer,0,FR,1575040220,55,43.12,5.8,64.99,13.87
370,Tucuman,95,PE,1575040221,28,-17.17,-70.89,70.66,10.87
371,Cabra,90,ES,1575040222,55,37.47,-4.43,66.2,3.36
372,Hushitai,100,CN,1575040224,53,41.93,123.51,21.2,4.47
373,Sasaram,0,IN,1575040225,48,24.95,84.01,72.39,1.9
374,Nemuro,5,JP,1575040226,69,43.32,145.57,32.32,18.59
